Year,MSHA_ID,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Coal_Supply_Region,Production_short_tons,Average_Employees,Labor_Hours
2021,103540,Dodge Mine,Alabama,Cullman,Active,Surface,Independent Producer Operator,Preparation Plant,Southern Mineral Resources Llc,"1915 County Road 8, Hanceville, AL 35077",,Appalachia Southern,0,4,8183
2021,103489,John Poe Mine,Alabama,De Kalb,Active,Surface,Independent Producer Operator,Mine only,Kennedy Brothers Construction,"3024 Byler Road, Eldridge, AL 35554",,Appalachia Southern,6487,2,820
2021,100329,Oak Grove Preparation Plant,Alabama,Jefferson,Active,Underground,Operating Subsidiary,Preparation Plant,Crimson Oak Grove Resources Ll,"8360 Taylors Ferry Rd, Hueytown, AL 35023",United Mine Workers Of America,Appalachia Southern,0,53,116182
2021,100627,Flat Top Mine,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,Best Coal Inc.,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,203190,42,117312
2021,100851,Oak Grove Mine,Alabama,Jefferson,Active,Underground,Operating Subsidiary,Mine only,Crimson Oak Grove Resources Ll,"8360 Taylors Ferry Rd, Bessemer, AL 35023",United Mine Workers Of America,Appalachia Southern,2020277,461,1100028
2021,101401,No 7 Mine,Alabama,Jefferson,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,"Warrior Met Coal Mining, Llc","P.O. Box 133, Brookwood, AL 35444",United Mine Workers Of America,Appalachia Southern,4793699,514,1502426
2021,103101,Pratt No. 1 Mine,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Preparation Plant,Best Coal Inc.,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,0,10,25789
2021,103285,Narley Mine,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,Best Coal Inc,"P.O. Box 1608, Jasper, AL 35502",,Appalachia Southern,130,3,2757
2021,103419,Maxine-Pratt Mine,Alabama,Jefferson,Active,Underground,Independent Producer Operator,Mine only,Prospect Mining & Development,"2002 Second Ave. S., Jasper, AL 35501",,Appalachia Southern,96907,27,53479
2021,103437,Black Warrior Mine No 1,Alabama,Jefferson,Active,Surface,Independent Producer Operator,Mine only,"Black Warrior Minerals, Inc.","P.O. Box 1190, Sumiton, AL 35148",,Appalachia Southern,156423,50,123270
